正文,点赞数,评论数,转发数,话题,日期,完整日期
"英国钢琴事件
        观点我旗帜鲜明的支持钢琴家在公共场合自由拍摄的权利此举也符合英国法律
       1如果你不希望在公共场合被拍摄到请你把头遮起来包括但不仅限于戴口罩戴墨镜拿垃圾袋蒙头
       2你节目保密和其他人有啥关系 你保密你自己应该做好保密措施而不是让其他人把眼睛闭上把摄像头挡起来
       3你可以不爽别人拍你但这就是英国法律请遵守所在国法律",222,58,5,,2024-01-29,2024-01-29 17:30:51
"经络之殇
       1压根就不存在经络这个东西
       2证有不证无如果存在经络请拿出证据
       3拿不出证据就不要幻想经络的存在",238,83,6,,2024-01-29,2024-01-29 17:25:02
这一队排了这么长全是化疗输液的,48,13,0,,2024-01-29,2024-01-29 14:21:10
"大学应该私有化
       1谁上大学谁付费
       2凭啥你上大学却要其他人承担成本 
       3减轻纳税人负担
       4提高大学效率
       5大学私有化后没有未来的科研项目会被砍掉
        6全世界最优秀的大学几乎都是私立的
        谁上大学谁付费大学生本来就是一群优秀的人现在却需要更多的普通人为大学生的学费而付费于情于理说不过去而且大学的经费都是天文数字少则几个亿多则上百亿不应该让社会大众来承担因为大部分人都没有享受到其中的好处",614,252,23,,2024-01-27,2024-01-27 16:49:46
该省省该花花发个微博不但泡面钱赚回来还能赚个牛奶钱天底下哪有这种好事,115,27,0,,2024-01-27,2024-01-27 13:36:00
"南宁街头卖甘蔗的一家三口父亲的担当与家庭的责任户晨风全球给陌生人1000元系列 
户晨风2023的微博视频",105,15,3,,2024-01-27,2024-01-27 10:04:51
"医院私有化的好处
       1节省大量税收不用弥补医院亏空
       2提高医院运营效率降低医疗成本
       3谁看病谁给钱更加公平公正
       以上3点都是有真凭实据的前段时间部分医院被查出检查费用贵就是医院行政人员过多机器采购成本不正常的高这有很多新闻自己去查最终这些成本都转嫁到患者头上
       私有化之后这些迎刃而解市场竞争会提供质优价廉的服务的",775,339,34,,2024-01-26,2024-01-26 09:33:53
"户晨风先生将于2月底赴新加坡拍摄望周知 
成都双流国际机场",75,23,0,,2024-01-25,2024-01-25 16:44:58
"公共交通亏损运营不下去应不应该补贴运营 
        不应该因为这就意味着其他不使用这个公共交通的人需要为此公共交通买单这不合理
        地铁公交铁路如果亏损运营不下去就停止运营然后自然会有人来做这个市场的能者多劳
        而不是持续性的不间断的补助
        这是对其他非乘坐者的不公平
        如果你支持对公共交通补贴 请直接回答为什么非乘坐者要为乘坐者的成本买单 
        不攻击互相尊重友好交流",243,106,11,,2024-01-24,2024-01-24 11:51:34
"再次突发因航班延误户晨风先生将于明日下午抵达成都 
        这张机票花了近800元 一晚上的直播收入没了 属实肉疼 
        晚上还是得狠狠地直播划拉W 
        望周知 
        1月份不停播 1月份播满一整月 
        1月份收入有望突破3万元大关 开门红",52,6,0,,2024-01-24,2024-01-24 11:47:20
突发 户晨风先生将于今日于江苏返回成都,74,19,0,,2024-01-24,2024-01-24 09:44:30
"现在向全社会公布户晨风先生的身体健康情况数据来源全国最大的连锁体检机构美年大健康出具
        除幽门螺旋杆菌抗体增高外户晨风先生体检的几十项均是正常针对这一情况户先生可能将在上海治疗
        望周知",144,37,0,,2024-01-21,2024-01-21 11:51:50
户晨风先生将于今日返回江苏,75,31,0,,2024-01-19,2024-01-19 12:27:34
"公交车之殇
        1应该把公交公司都私有化
        2公交公司负债过多应该立即破产清算
        3支撑不起公交车的地区就直接取消公交车不能补贴因为这是不可持续的包括农村地区
        4降低对载人拉客的违法标准面包车也能拉客这是最经济的这样农村才有可能有间歇性的面包公交车
        理由如下
        公交公司绝大部分都属于公有的随着地方财政对公交公司的补贴降低取消很多地方公交支撑不下去字面意思所以以上措施都是合理且必须的如果你不同意请给出更好的解决方案
        不攻击互相尊重友好交流",410,206,10,,2024-01-18,2024-01-18 20:07:05
"户晨风先生已在全国最大的体检联锁机构完成体检
        不日将向全社会公布体检结果 敬请期待",73,41,1,,2024-01-18,2024-01-18 12:24:38
每天一睁眼就纳税好几百能不能让成都市税务局给我发个什么成都市最佳青年纳税人的锦旗啊,212,59,1,,2024-01-18,2024-01-18 09:11:49
"成都的街头走一走时光一晃真快啊人在成都已经5年多了 
       这5年多真是波澜壮阔的5年",97,31,1,,2024-01-17,2024-01-17 17:33:30
"昨晚直播3个半小时挣了不到5000还是很满意的一分耕耘一分收获吧感恩各位网友各位总
        B站提现一天最多提现2000还得预缴16的个人所得税
         我一天纳税近1000元",191,55,1,,2024-01-16,2024-01-16 14:43:26
"户晨风先生正在签名 
成都",120,35,2,,2024-01-15,2024-01-15 13:16:33
"阿根廷总统米莱每晚9点也看我的直播么
        我们也不能让不坐高铁的人为高铁付钱       
        谁坐谁给钱谁坐谁付费
        视频转载自抖音9585889 
户晨风2023的微博视频",99,26,1,,2024-01-14,2024-01-14 17:56:47
"文言文之殇
        文言文早就被历史淘汰了对于普通人而言毕业后使用到文言文的概率几乎为0所以我认为应该做到以下几点
        1义务教育阶段全面删除文言文内容这些内容对于孩子的想象力逻辑性的提升为0
        2原本文言文的分数权重重新分配到数理化英语上让学生学习到更有用的东西
        3对文言文感兴趣的大学可以选相关专业深度学习
         请勿攻击理性交流",1054,607,53,,2024-01-14,2024-01-14 17:20:17
户晨风先生未来一个月的行程安排望周知,39,20,3,,2024-01-14,2024-01-14 16:25:52
今天晚上吃完饭准备直播吃面必须配上肉蔬菜光吃碳水哪行呢一顿饭简简单单40元,92,30,1,,2024-01-14,2024-01-14 00:49:55
"安卓之殇
1安卓普遍都是3000元以下的低端机
2安卓用户几乎没有任何付费意愿用盗版软件想方设法不付费
3安卓安全性极差苹果明星艳照泄露是因为几乎所有的名人富豪用的都是苹果或者私底下用苹果几乎没人用安卓这个世界上没有绝对的安全想对安卓而言苹果安全性太好了
4安卓无解手机市场尘埃落定苹果一统天下 
以上仅代表个人观点不一定对请注意甄别不针对全体安卓用户仅说明现实情况不攻击互相尊重友好交流",234,79,2,,2024-01-13,2024-01-13 16:40:46
"因工作十分繁忙再加家庭事务繁重本人在春节前暂不接受任何线下吃饭和其他娱乐活动的邀请十分抱歉
        另本人没有约吃饭的习惯有事需要见面线下谈的可以喝咖啡聊
        另户晨风先生已抵达成都 
        将于明日起恢复工作望周知",103,34,3,,2024-01-12,2024-01-12 19:42:51
户晨风先生将于后天返回成都工作,81,67,0,,2024-01-10,2024-01-10 11:18:29
户晨风将于本周五左右返回成都办公望周知,167,55,1,,2024-01-06,2024-01-06 19:41:49
"越往北雾霾越大真地道啊 
淮安",33,14,1,,2024-01-06,2024-01-06 15:38:38
中午加双份牛肉的粉32元多吃优质蛋白少吃米面馒头粥吃这些没啥好处除了让你变胖三高堵塞血管,93,24,2,,2024-01-05,2024-01-05 13:19:04
"反对我观点的人几乎没有讲道理的只有谩骂和扣帽子
        无论是高铁私有化还是取消高铁实名制取消高铁地铁安检基本都是情绪输出
        挺好的我就喜欢看你急躁的样子而我偏偏喜欢跟你讲道理
        真理越辩越明
        昨晚直播2小时小赚500元够一天支出了 
南宁",424,158,14,,2024-01-05,2024-01-05 09:55:55
"地铁之殇 
应该立即取消地铁安检地铁安检毫无意义 
       1如果严格安检城市瘫痪早晚高峰排队排一公里进不了地铁站地铁失去其功能性
      2如果不严格安检现在就是不严格安检纯糊弄毫无意义拿着小包穿厚衣服直接进而且进去也可以从外面递东西进去纯形式主义
       真想搞事情直接就糊弄进去了
       所以咱们都是理性人与其糊弄还不如取消地铁安检而且参考其他国家地铁都没安检还没听说谁天天地铁出现安全事故呢
        地铁安检已经成了社会的纯负资产 
        咱们不是天网摄像头覆盖都有么 还怕有人搞事情 你也太不自信了
        有道理讲道理请勿输出情绪",5986,2129,142,,2024-01-04,2024-01-04 20:19:51
户晨风先生将于明日抵达南京进行休整望周知,53,16,2,,2024-01-04,2024-01-04 19:37:38
"感谢不同意我观点的人让我现在微博也有稳定的收益了一天2030元够吃一顿饭了
        隔几天我就会发表一下自己的观点认不认同那是你的事发不发表是我的事
        感恩",119,33,2,,2024-01-04,2024-01-04 18:27:01
"我说小米汽车不超过15万我就买很多人说我是屌丝
        你还真说对了我觉得小米在大家的认知里面不就是屌丝品牌么 
        小米做高端手机做了好几年有几个小米用户买支持 
        绝大部分销量不还是更便宜的23千的红米么 
         我觉得小米就值15万但凡贵一点我就去买特斯拉了
         你开个特斯拉和小米汽车别人看你的眼神都不一样小米定价只能15万左右没办法贵了就是特斯拉
        以上仅代表个人观点不一定对请认真甄别",1221,536,7,,2024-01-03,2024-01-03 20:36:02
小米汽车定价15万以下立马提一辆高于15万不考虑又不是家庭用车品牌本身也没有附加值15万就是买车,574,213,6,,2024-01-03,2024-01-03 16:05:09
"很多人关心我直播收入问题最近反正只要开播一天赚1000块钱左右播34小时 
南宁",92,22,0,,2024-01-03,2024-01-03 09:44:17
南宁吃口24元总共今天第一顿饭不容易啊我太难了,47,31,0,,2024-01-02,2024-01-02 13:43:47
"高铁安检行李直接掉地上我是这么处理的 
户晨风2023的微博视频",13772,1661,211,,2024-01-01,2024-01-01 13:40:35
"三赴南宁 解决户晨风被威胁杀全家案和律师面谈推动案件进展 
        此案必将载入法治进程的史册浓墨重彩的一笔",231,43,1,,2024-01-01,2024-01-01 12:16:10
"落地无锡从早上到现在没吃任何东西就飞机上喝了两杯可乐廉价航空没有吃的创业维艰啊 
        下车之后接机的司机立马把我拉到无锡火车站终日奔波苦一日不得闲 
无锡苏南硕放国际机场",86,28,0,,2023-12-30,2023-12-30 15:59:56
回家回家唇膏这玩意真好用啊嘴唇干涩俏皮摸上去就好了这玩意谁研究的呢 搞嘴上就得劲DHC的进口货,50,14,0,,2023-12-30,2023-12-30 12:28:34
3年了终于用上5G了5G流量卡280G一个月19元太划算了准备和中国移动一刀两断了中国移动的流量太贵了,191,309,13,,2023-12-30,2023-12-30 10:58:49
简单一顿饭,79,25,1,,2023-12-29,2023-12-29 18:19:08
"雷军被米粉忽悠麻了做了个运动型轿车米粉买个手机支持一下还是可以的而且小米集团旗下绝大部分的手机销量都是更便宜的红米手机米粉买车那就算了真没实力
        而且在我们这个社会车子都是一个家庭使用必须兼顾2个甚至3个家庭的整体需求所以空间一定要大大大大 
        这次小米汽车基本只兼顾驾驶感受空间肉眼可见的小销量个人估计会很差 
        仅代表个人观点",109,38,1,,2023-12-28,2023-12-28 18:26:08
关于户晨风已公开发布视频的以及直播录播的视频版权公开声明给予每一位自由发布转载的权利 这是授权函 望周知,93,16,3,,2023-12-28,2023-12-28 15:03:25
"看看菊花最新发布的M9喝喝咖啡人生也就这样了 
成都",37,19,0,,2023-12-28,2023-12-28 14:59:36
"高铁之殇 
      高铁当然好了有总比没有强这是一句没有用的废话资源是有限的也就是钱是有限的税收就和你的工资一样一个家庭的支出有很多柴米油盐酱醋茶还得养老婆孩子父母还得吃药看病所以得精打细算过日子付出和回报不成正比的项目就得砍掉
        大城市之间建高铁本身没问题也能盈利问题是很多小地方也在大张旗鼓的建高铁完全没有必要上座率极低只是运空椅子
       省下来的钱可以改善民生比如医疗教育而不是白白的让高铁把钱烧掉",1316,349,29,,2023-12-27,2023-12-27 15:43:18
"我放弃所有作品的版权户晨风的声明 
户晨风2023的微博视频",740,140,18,,2023-12-27,2023-12-27 11:01:07
"工作日在成都工作周末回江苏过望周知 
成都",243,90,5,,2023-12-26,2023-12-26 14:42:34
"我一说公开拍卖高铁把高铁私有化一群义愤填膺的小将马上把我围住不停的指责我
        这些义愤填膺的人一边支持大而无用的设施修建一边对高铁公司超高额负债每年盈利水平连负债利息都不够的事实避而不谈当然他们也不一定知道
        真乃双重人格",16803,2422,246,,2023-12-25,2023-12-25 18:09:06
南京飞成都回成都庆祝圣诞节,159,42,1,,2023-12-25,2023-12-25 14:24:11
冬季拍摄地主要是广西海南除此之外都太冷没法拍街上没人,47,12,1,,2023-12-23,2023-12-23 10:19:05
"十分具有人格魅力 
上海",67,26,2,,2023-12-22,2023-12-22 17:56:03
"我11月赚了多少钱我如何兑现的承诺户晨风收入公开系列 
户晨风2023的微博视频",82,18,3,,2023-12-22,2023-12-22 11:30:22
"来上海3天3件事送钱送钱还是送钱3天必须把钱送光 
上海",25,9,0,,2023-12-21,2023-12-21 17:52:52
"每天都是奔波在不同城市住一模一样的酒店拍不同人的人生 
上海",28,10,0,,2023-12-21,2023-12-21 16:27:21
镇江去上海高铁目前延误7分钟他妈的赔钱延误了得赔钱耽误了用户的时间 人家航空公司都有赔偿机制为啥你高铁没有 你高高在上,195,68,4,,2023-12-21,2023-12-21 11:44:16
我将于2023年12月25日晚飞抵成都在成都共渡圣诞,64,13,1,,2023-12-21,2023-12-21 09:26:29
"简中互联网辟谣闻神一晚上赚800万
        闻神一晚上直播收到6000个抖音嘉年华嘉年华礼物价3000元平台拿1500普通主播预缴20的个人所得税到手1200元大主播月收入大于96万的缴纳45个人所得税到手825元所以收到6000个嘉年华到手495万缴税405万
        缴税的额度几乎略等于到手钱",79,45,3,,2023-12-20,2023-12-20 19:23:22
"人这辈子真是峰回路转啊前几天坐青岛航空从成都回无锡航班因为航空公司原因延误导致我在无锡住宿花了198元我找青岛航空赔偿青岛航空说送你个飞机模型吧我说行吧因为我正生病呢也不想烦
        今天收到模型送给了我叔我叔回家打开说飞机模型引擎断了我找青岛航空青岛航空让我找顺丰解决我网上查了一下这个模型208元我把相关资料传给顺丰顺丰直接赔付了我189元
        200元以这种方式回到我手里属实没想到 
镇江真真老老美食镇江高铁站",385,51,4,,2023-12-20,2023-12-20 18:37:44
"网友们又来公立三甲医院就医了为啥来公立三甲 因为医疗资源都被公立三甲医院垄断了我不得不来
       鼻孔出血 挂个号 做了个鼻镜检查拿了个药总共314元无法报销真贵啊普通人2天的工资",103,29,2,,2023-12-19,2023-12-19 15:52:03
"简中互联网青岛往韩国背粮食彻头彻尾的谎言关键这几天还在简中互联网越传越广
        事情起源是有一个博主写了个文章大概意思是韩国粮食价格特别贵4050一斤青岛粮食便宜45元一斤比如绿豆就有一群人从青岛携带40KG的粮食去韩国倒卖赚差价
        我的看完这个事件的第一反应就是不正常没有逻辑
        因为该文章没有摆事实全是情绪输出
        1事实性错误飞韩国航司以山东航空举例因为山东航空飞首尔的航班很多只允许携带23KG的行李包含托运图1多余重量超过免费额度需要按件收费一件超重量不超尺寸32Kg的行李收费是490元人民币再加上机票350元买行李额的钱明显高于每公斤粮食售价
        且文章里说由于经常过飞带粮食的都是白金卡这一点如果确实是白金卡那没问题可以携带40kg的行李但带粮食的应该以低收入群体为主国航的白金卡一年要飞10万公里或者90个航段才会有那这10万公里纯亏本带粮食来回跑 
        就算真的亏本带粮食跑下一个问题来了
        2如何过海关 首先从我们这出关是否受影响我不清楚但是从韩国入关必然出大问题因为从外国携带种子未经加工的粮食有可能涉及物种入侵且40KG这么多海关必然过不去且检疫检验也过不去啊因为未加工的粮食会携带虫害
        有人说回程带化妆品这样快速往返大体量走私你以为海关吃素的 出过国么 
        3携带者国籍问题如果是中国人多次这样去做按照文章来看也确实如此每天往返韩国海关是傻子 这走私啊 如果是韩国本地人韩国最低工资标准约9680韩元约53元人民币这个走私赚的和最低工资几乎差不多何必呢 
         4没有任何佐证搜遍简中互联网只有2张截图图34
       个人以为应该是有一小部分人这么做但绝对不可能群体性",120,19,8,,2023-12-18,2023-12-18 13:39:26
垂死病中惊坐起拔剑四顾心茫然,126,24,2,,2023-12-17,2023-12-17 22:44:51
谢谢我不需要协管员真理越辩越明自由发言是每个人的权利,109,20,3,,2023-12-17,2023-12-17 15:16:40
"今天我乘坐贵公司实际承运航班QW6125次航班由成都飞无锡
       由于贵公司本身的原因航班延误近5小时图2是延误证明导致我落地无锡后2102分才落地2120分才走到地铁站
        来不及赶到无锡站高铁站图3硕放机场到无锡站最少需要43分钟还没算下机时间搭乘高铁回家从而产生了198元住宿费图5此住宿费合理且必须请予以报销",121,32,5,,2023-12-15,2023-12-15 21:58:42
保险公司的航班延误险真垃圾啊赔来陪去也就赔100块左右还不如买第三方机票软件的延误险便宜赔的还多延误4小时赔400机票代金券太划算了才38元,17,2,0,,2023-12-15,2023-12-15 15:46:04
全乱了网友们上飞机然后飞机准备起飞又推回停机位全体下飞机然后不知道取消与否,12,2,0,,2023-12-15,2023-12-15 14:39:56
"成都飞无锡昨天晚上看天气预报无锡今天有雨瞅准时机买了2份航班延误险总共花了77元这赔率也太低了就算都是顶额赔也就赔188元减去本金77我就赚150左右血亏啊但总比一分不赚强
         现在飞机准备起飞又突然取消起飞了我能赚到钱么",4,2,1,,2023-12-15,2023-12-15 14:20:25
荣耀属于乌克兰正义必胜,498,104,8,,2023-12-15,2023-12-15 11:04:03
验光配眼镜,123,27,1,,2023-12-11,2023-12-11 14:44:10
户晨风先生已初步恢复健康已经开始恢复工作早上起来给海报签名,52,8,1,,2023-12-11,2023-12-11 11:17:47
综有等待终究值得,119,30,0,,2023-12-10,2023-12-10 17:43:32
"实在是扛不住了凌晨5点去的医院看了医生拿了药是病毒性感冒医生说你再硬抗3天就过去了你抗不抗 
        我说其他还好就是太头晕了晚上晕的睡不着拿点药吧总共检查挂号药消费200元
       实在是顶不住还得再恢复2天
       免责声明有病请去正规三甲医院治疗遵循医嘱吃药",86,31,1,,2023-12-08,2023-12-08 14:49:31
病归病冰镇果汁必须喝起来必须是nFC的蛋糕也得是病的没有任何证据证明吃冰的对身体不好,72,9,1,,2023-12-06,2023-12-06 18:27:41
"不戴口罩不治疗硬挺就完事了50岁以下死亡率无限接近于0这比出去溜达被车撞死的概率都低
        很多网友说为啥不去看医生 因为没有必要现在没有任何药物能够治疗病毒但是有一说一治疗可以缓解症状但是我不需要
        病毒特效药是在有明显症状之前吃有效果无论是辉瑞的还是奥司他韦麻烦看看说明书
        2022年11月到现在这是第三次无所谓
        免责声明有病去正规三甲医院看不要学我硬挺尤其是老人小孩孕妇基础性疾病患者有相关症状一定及时就医吃药请在医生指导下吃",85,26,4,,2023-12-06,2023-12-06 18:22:50
"网友们彻底完犊子了病毒有点厉害了彻底病倒了体内的白细胞正在和RNA病毒做剧烈斗争场面十分血腥咳嗽肌肉酸疼头晕嗓子哑
        坚持不吃药不挤占医疗资源把医疗资源留给更有需要的人牺牲小我成就大我
        今明两晚不直播 
成都",66,13,0,,2023-12-06,2023-12-06 16:13:01
尊敬的网友们从这周末开始不出意外的话每个周末我都会在江苏过周末暂时为期一个月周一回成都或者其他城市工作,21,12,0,,2023-12-05,2023-12-05 10:58:19
"网友们我病了病毒占领高地了但是我坚持不吃药不挤占医疗资源坚持和RNA病毒斗争
        头晕没有力气走不动路不知道发不发烧 
        食无味寝无眠 
深圳",43,23,0,,2023-12-04,2023-12-04 14:19:08
"网友们哪幅眼镜好看 准备2000预算配个眼镜 
深圳",32,35,0,,2023-12-04,2023-12-04 11:31:21
"遭遇重大挫折户晨风被威胁杀全家案后续3合理合法维护个人权益还网络一个风清气正的环境拒绝网络暴力 
户晨风2023的微博视频",63,30,1,,2023-12-03,2023-12-03 13:21:46
"从纹身师到吸毒者从进监狱到卖糖葫芦东北大哥13年人生户晨风随机给陌生人1000元 
户晨风2023的微博视频",27,3,0,,2023-12-02,2023-12-02 11:27:00
"假期一撇明天深圳见 
郑州",28,8,0,,2023-12-01,2023-12-01 21:00:28
"户晨风先生生平照片合集 
户晨风2023的微博视频",74,31,3,,2023-12-01,2023-12-01 10:11:30
"淘宝正在生死存亡之秋 鄙人不才愿出3计匡扶淘宝
1全面学习亚马逊京东建立自营仓提高次日达当日达比例
2告别诈骗式营销所有商家商品宣传照和店铺统一版式越简单越好优惠不再采用满减等策略直接便宜单品且真便宜
3以好评率为商品推荐金指标买好评的店铺全部直接关停且关停母公司开店押金不退且交割款项冻结
        总结直播电商从来不会对网购有威胁因为直播电商是冲动式消费且售后体验差品类少只要淘宝洗心革面依我3计市值再破1万亿美金指日可待
       全面学习亚马逊以壮士断腕的决心反正现在基本上和截肢差不多了
        重新扛起国内电商的新标杆 
         当断不断反受其乱下决心吧",77,57,1,,2023-11-30,2023-11-30 10:04:42
"出差到机场也不能闲啊还有一个小时赶紧发布视频剪视频
        超高强度工作是必然的昨晚直播到凌晨1点早上7点40起床收拾行李设备820到麦当劳吃饭855赶到火车南站赶机场地铁
        我也不觉得辛苦我喜欢快节奏",19,9,0,,2023-11-29,2023-11-29 10:12:42
"好家伙这次某鱼头部全军覆没 都缝纫机了 
挣那么多钱 几乎0法律意识你把一天直播收入的一半拿来雇一个法律顾问也够了啊",23,4,0,,2023-11-28,2023-11-28 17:10:36
"西南地区高铁上座率实况一镜到底
此为2023年11月21日G2165次 
南昌西成都东共8车厢下午240分拍摄行驶到贵州四川交界处威信县附近
免责声明仅代表当天此时此刻此站的高铁上座率 
户晨风2023的微博视频",159,59,2,,2023-11-21,2023-11-21 15:27:21
"我目前正在南宁到贵阳北的高铁上这就是上座率最后一张是人最多的车厢
这能把电费赚回来么 别说发工资了
这还是南宁到贵阳北的大干线支线岂不是更完犊子 
总共8节车厢图片并不包含每节车厢这仅仅代表我所坐的本车次的本时间的动车",5761,507,179,,2023-11-20,2023-11-20 10:00:00
"重大进展拿到受案回执奔赴3000公里后续户晨风被威胁杀全家后续 
户晨风2023的微博视频",48,7,4,,2023-11-20,2023-11-20 01:13:59
"南宁的夜静悄悄搞个炒粉吃一吃 
南宁",26,7,1,,2023-11-17,2023-11-17 00:06:32
"我已抵达南宁 
南宁",19,4,0,,2023-11-16,2023-11-16 23:08:34
"10月份我赚了多少钱我获得了人生第1个奖牌户晨风全网收入情况公开财务 
户晨风2023的微博视频",48,6,1,,2023-11-15,2023-11-15 12:14:05
"户晨风被威胁灭门事件进展
        刚才南宁公安派出所那边给我回电了民警态度很好很积极派出所领导也在积极处置很感谢 
点赞",34,3,0,,2023-11-14,2023-11-14 18:38:30
"到机场了飞扬州回家一趟
到机场该省省该花花一瓶无糖可乐4元一个进口饼干11元15元解决晚饭最近胖了得减减肥了
后天南宁见 
长春长春龙嘉国际机场",32,11,0,,2023-11-14,2023-11-14 17:10:17
"户晨风被死亡威胁威胁者要灭门户晨风全家 
户晨风2023的微博视频",83,15,6,,2023-11-13,2023-11-13 11:27:28
"一个月内第二次 
户晨风再遭死亡威胁 
户晨风被威胁要灭门 
        威胁者在B站公开收购我的家庭住址声称要在春节把我全家灭门 
        这种赤裸裸的死亡威胁已经涉及恐怖主义了 
         我已陷入深深地恐惧门都不敢出了吃不下饭水都喝不下去我都不敢跟我的家里人讲 
        得知此事后我已立即购买了去广西南宁的机票图4我将在南宁市派出所网警实地报案并录视频 
        他的IP地址显示在广西 请予以核实和打击此人现在是否已经购买了管制刀具他有很强的暴击犯罪欲望 且已经有了实施计划 
         请B站官方尽快处理 谢谢 
         图1是威胁者的B站账号
         图2是他威胁我的原文
         图3在B站公开高价收购我的家庭住址
         图4是我购买的去广西的机票",143,37,8,,2023-11-12,2023-11-12 15:38:58
"长春拍摄中 
长春",30,9,0,,2023-11-11,2023-11-11 18:19:44
"家人们经常坐飞机我不担心航空安全但是以防万一
        我给自己买了6份意外险的保单不算意外身故的赔偿金仅仅是航空意外身故死亡一项累计保险赔偿金就3500万现在收入不高以后收入高了买一个亿的
        望周知",24,6,1,,2023-11-11,2023-11-11 11:09:47
"济南机场太垃圾了连个办公的公用桌子都没有其他机场基本上标配中途转机3小时肯定不能浪费啊剪个视频办公都没地方
        没办法只能坐在地上剪视频插座还是坏的没电
        而且网速巨慢无比02ms天府机场45ms 你正常的12ms也行啊你这网纯粹摆设刷微博都嫌慢
        当你们看到这条微博的时候我已经在济南飞长春的航班上了定时发布的 
济南遥墙国际机场",66,13,0,,2023-11-10,2023-11-10 17:30:15
出差路上工作学习两不误第一次去冬天的东北去长春害怕被冻坏先从成都飞济南再转机去长春,29,10,1,,2023-11-10,2023-11-10 10:06:34
"今天坐川航的3U8788次航班从珠海经西昌机场到成都
       飞行到西昌机场途中发现图1圈里面这个橡胶条不正常本来不该有的怎么可能夹着橡胶条呢 我坐飞机基本上都是这个位置做了几十次了没发现过这种情况
        降落之后又没了如图2
        照片已经给机组看了机组拿给机长看了机组拍照留存了
        图34机场正在检查
        希望没事一切正常",111,35,4,,2023-10-30,2023-10-30 18:08:04
"户晨风先生游香港 
香港",32,7,0,,2023-10-28,2023-10-28 12:03:30
已抵达香港香港的公交系统太垃圾了坐过了耽误了半小时本地人阿姨跟我说本地人都能做错标识不明确不清晰跟着谷哥地图有些站点不显示都是错误的i am angry 这物价真的离谱啊一个水果都是10元以上,274,90,0,,2023-10-27,2023-10-27 21:19:40
"本人在B站被匿名用户实名威胁 人身安全难以保障 
        如果本人及本人的家属出现不明原因可疑的安全事故包括但不仅限于车祸食物中毒消失高空坠物砸中这是重要线索 
        对面IP 地址显示为上海 希望能够予以核查谢谢 
         希望能够按照B站相关规定处理谢谢 
        望周知",307,99,8,,2023-10-21,2023-10-21 10:36:48
兰州拍摄中,49,13,1,,2023-10-20,2023-10-20 17:39:34
"酒店的房间还没打扫出来就已经在酒店大堂开始辛勤的工作了
干就完了不多说晚上直播聊 
兰州",17,6,0,,2023-10-20,2023-10-20 09:39:00
"本人被持续性的直播切片断章取义已忍无可忍昨天直播在讨论加沙地区医院遇袭事件中我反复强调
        1这是个悲剧没有人希望发生这个事
        2现有证据无法证明到底是谁干的
        3500人死亡系哈马斯单方面公布的数据结合现场照片来看几乎不可能500人死亡因为建筑物没有明显受损且爆炸点周围的汽车玻璃都是完好的另外场地过小站都站不了500人图12
         4死亡人数统计过快事件发生不到24小时就统计出500人死亡近乎于不可能
         5地上没有大量的血迹如果真有哈马斯不可能把它打扫干净的肯定等着全世界的媒体拍因为这是铁证此医院目前处于哈马斯控制范围图34
        图片来源 部分观点参考 我很认同
        不攻击互相尊重友好交流",1768,819,43,,2023-10-19,2023-10-19 11:25:53
"8月份我赚了多少钱户晨风全网收入情况 
户晨风2023的微博视频",61,14,1,,2023-10-17,2023-10-17 19:29:12
"上海是不是环保环疯了 住酒店要求屋子里不能有一次性牙刷得选择是否需要
       来肯德基吃饭我吃早饭选的粥问我是否需要勺子 我匪夷所思啊拿手抓着吃粥 还是我吃饭自带非一次性碗筷",37,8,0,,2023-10-17,2023-10-17 09:14:20
现在一个月要飞56次都感觉很疲惫了那些一个月飞10多次的身体素质真好啊,16,14,1,,2023-10-13,2023-10-13 12:46:39
曼谷来电,34,12,0,,2023-10-07,2023-10-07 19:41:04
浮光掠影,26,6,0,,2023-10-02,2023-10-02 00:06:41
忆往昔峥嵘岁月稠恰同学少年风华正茂书生意气挥斥方遒,58,11,0,,2023-09-28,2023-09-28 13:49:53
